ticket_id,subject,body,expected_category,expected_urgency
T001,Refund for accidental annual upgrade,"Hi, I meant to renew my monthly plan but it looks like I got charged for the annual plan instead - $240 instead of $24. Can I get this reversed and put back on monthly? This just happened today.",billing,medium
T002,Can't log in after password reset,"I reset my password twice now using the email link but every time I try to log in it says 'invalid credentials'. I have a client presentation in an hour and all my project boards are on TaskFlow. Please help ASAP.",account,critical
T003,Feature request: dark mode,"Loving TaskFlow so far! One thing that would really help my eyes during late night work sessions is a dark mode option. Any plans to add this?",feature_request,low
T004,Zapier integration stopped syncing,"Our Zapier automation that creates TaskFlow cards from new Typeform submissions has stopped working since yesterday. No error message, it just silently fails. This is blocking our intake process.",technical,high
T005,How do I add a team member,"Quick question - how do I invite a new person to my workspace? I don't see an obvious button for it.",account,low
T006,Invoice missing for last month,"We need the invoice for June 2026 for our accounting records but I can't find it anywhere in the billing section. Where can I download past invoices?",billing,low
T007,Charged twice this month,"I was charged twice on the 3rd of this month for my Pro plan subscription - $49 appears twice on my card statement. This needs to be fixed and refunded immediately, this is unacceptable.",billing,high
T008,Board completely disappeared,"One of our project boards with 3 months of work just vanished. It was there yesterday, today it's gone from the workspace. We have NOTHING backed up elsewhere. This is a disaster for our team.",technical,critical
T009,Question about API rate limits,"What are the current API rate limits for the Business plan? We're building an internal tool and want to make sure we don't hit limits.",other,low
T010,Cancel my subscription,"I'd like to cancel my subscription at the end of this billing cycle. Can you confirm how to do this or process it for me?",billing,medium
T011,Mobile app crashes on opening,"The TaskFlow mobile app crashes immediately every time I try to open it on my iPhone 15, started after the last update. Android version works fine on my tablet though.",technical,high
T012,Requesting bulk export feature,"Is there a way to bulk export all our project data to CSV or Excel? We need this for a client audit next month and currently can only export one board at a time.",feature_request,medium
T013,Permission settings not saving,"I'm trying to restrict a team member to view-only access on one board, but every time I save the permission it reverts back to full edit access after a few minutes.",technical,medium
T014,Upgrade to annual plan for discount,"I saw there's a discount for annual billing - how do I switch from my current monthly plan to annual? Want to make sure I don't lose my current settings.",billing,low
T015,Really unhappy with recent price increase,"I just got notified my plan price is going up 30% next renewal with barely any notice. This feels like a bait and switch honestly. I've been a loyal customer for 2 years and this is how you treat us?",billing,high
T016,Two-factor authentication setup help,"How do I enable two-factor authentication for my account? I want to make sure our workspace is secure since we handle client data.",account,low
T017,Notifications not sending to Slack,"Our Slack integration for task assignment notifications used to work but nothing has come through in about a week even though tasks are being assigned normally.",technical,medium
T018,Can we get a custom domain feature,"Would love the ability to use a custom domain for our team's TaskFlow workspace instead of the default taskflow.app subdomain. Is this on the roadmap?",feature_request,low
T019,Data export before we leave,"We've decided to move to a different tool. Before we cancel, we need to export all our project data. What formats are supported and is there a deadline before data is deleted?",account,medium
T020,Login page stuck loading forever,"The login page just spins forever and never loads, tried on Chrome and Firefox, cleared cache, still nothing. Can't get into my account at all, need this fixed today.",account,critical
